,essay_id,essay_set,essay,Ideas,organization,style,Conventions,total_score,tokens
93,19529,7,"“@CAPS1!” @CAPS2 whined, her voice escalating into a wail. “You can’t do this to me. I’m ten!” “@CAPS2, calm down. I know you are ten, and at that, a very responsive ten year old. @CAPS4 @CAPS7 I have told you before, I can’t leave you at the house all @DATE1. Your father and I have work honey!” “@CAPS4 can’t you just hire a babysitter? What about @PERSON3? @CAPS13 babysitted last year!” @CAPS2’s mother sighed. “I know you liked @PERSON3, @CAPS4 @CAPS13 just wasn’t fit to the requirements I was looking for. Besides, you @CAPS21 you wanted to be a babysitter! Why not try and help at the @CAPS16?” @CAPS2 used her well practiced glare at her mother that @CAPS21 “@CAPS7 if!”. This conversation had been held two weeks ago in the kitchen of the fullers. @CAPS12, @CAPS2’s mother, @PERSON1, was taking her to @CAPS9 county’s only day care, @CAPS10 and @CAPS15 @CAPS16. The name made @CAPS2 want to gag. “@CAPS12 remember sweetie, be nice and try to help out a bit. I love you!” @CAPS13 called @CAPS7 @CAPS13 started to pull out of the driveway. @CAPS2 turned to face the small building. The sign above the building stated “@CAPS10 and @CAPS15 @CAPS16. A friendly and loving environment” @CAPS13 had that gagging feeling again. @CAPS13 turned back to see if @CAPS13 could spot her mother’s red, battered, @LOCATION1 speeding down the poorly paved road. @CAPS4 all @CAPS13 saw was a trail of dust. Great, @CAPS13 thought @CAPS7 @CAPS13 entered through the double doors that had a picture of a big, grinning, clown, “@CAPS12, why don’t you play with little @PERSON4?” @PERSON2 @CAPS21, comforting “little” @PERSON4 in her arms, actually, @PERSON4 was seven, which @CAPS2 thought was a big enough age to not cry when someone yells at them when they’ve asked to play “one” for the billionth time. “@CAPS2 we need to talk.” @CAPS21 the middle aged woman, shunning @PERSON4 to the side,” honey, you’ve got to understand that kids need patience and love. Heck, I remember you @CAPS7 a kid! Boy were you an attention hog!” @CAPS2 looked like @CAPS13 regretted yelling. @CAPS13 smiled and went to find @PERSON4. Maybe he’d still be game for you.",3,3,3,3,12,634
561,19260,7,"Patience is a valuable thing. Everyday I go to basketball practice to watch all my friends play. I do @CAPS1 practice because a few weeks ago, I broke my ankle playing soccer. It take patience to sit in a gym and watch your friends have fun for an hour and a half. Every @DATE2 and @DATE1 I sit on the bench and watch the team play a basketball game. I have the choice to @CAPS1 go to the games, but I have patience. So I go. It is very boring to just sit there but I do it so I can watch and play @CAPS2 year. You know now that patience is a virtue. It takes lots of patience to do really anything. Do you have patience? Patience isn’t when your sitting somewhere for a while and get upset with someone. It is when you are calm and waiting.",2,2,2,3,9,180
312,18471,7,"Have you ever have to wait in line to get on the biggest roller coaster at a theain park? Have you ever wait until all your chores are done before you can play with your best friend? Have you ever had to wait for your little brother or sister to catch up? Well, in this story I will tell you about one time that I had to be patient. During @DATE1 I had to go to the doctor to get shots @CAPS2 that I could be safe. When I got to the doctor I had to wait in a room for my name to be called. It was @CAPS2 boring! And I was thinking, “@CAPS1 long does it take for a few people to get shots @CAPS2 that I can leave?” @CAPS2 I had to just sit there for about half- an- hour until my name was called. Then once I got into a back room I had to wait even longer for my mom to sign papers and what not, and also for the doctor to get the shots ready for what my mom told them to give me. But in the end I got to go home and play with my friend. This is once of many times that I had to be patient. And at least I still got to play with my friend. I hope you liked it.",2,2,2,3,9,270
309,18381,7,"@CAPS4 I'm patient, and sometime I'm impatient. But no matter how impatient l am, my @CAPS5's even more impatient when it comes to waiting in a big traffic jam. He huffs at the long delay, sighs, and gets very impatient. He says things like, @CAPS1 on, @CAPS2"" ""@CAPS1 on!""  @CAPS4 it's scary to be with @CAPS5 in traffic jams, or long lines. But after the long line. @CAPS5's himself again which is a great relief on my past!""",3,3,3,3,12,125
1537,19465,7,One time my friend was waitin for I stay in there a hole hour I was takin my time he wait though he couldnt to I got out the bathroom I said thankz he said anytime I was surprised at her.,1,1,1,1,4,46
964,18193,7,"I don’t have much patience, but I’ll tell you a story about a time that I did. It was a sunny day outside and it was @DATE1 after school and I had no homework. So I invited my friends over and we were going to landslide skate park. We were all at my home but @CAPS1 wasn’t. My mom said “@CAPS2 hes not here in two minutes we have to go with out him”. So I was mad I was writing a note to put on the door that reads “@CAPS1, we had to go with out you because you were late! Sorry be on time next time.-@CAPS4”. But when I was signing the note he pulled up. That was the story when I had patients.",1,1,2,2,6,158
505,18378,7,"Jenny and @PERSON3 were twins brother and sister every year a carnival was built up next to their house with games, rides and food. One day @PERSON1 and @PERSON1 went to ask their mother @PERSON2 politely for some money to go on the ferris wheel mom, “can we each have a dollar to go on the ferris  wheel.” @CAPS1 @PERSON1,”sure “ @CAPS1 mom and handed them two dollars. @PERSON1 and @PERSON1 were so excited they ran to the line of the ferris wheel. They waited and waited for an hour and it was finally their turn, during this time for man that was in charge of the ferris wheel had watched @PERSON1 and @PERSON1 wait in line. As @PERSON1 were about to step in the cast to mean boys pushed them off to the ground and took their seat. Now mama taught them how to be nice to everyone and they remembered that so they got back up and let them go. When it was their turn again the man in charge of the ferris wheel took notice of what just happened and told them that he was proud of @PERSON1 and @PERSON1 and that they would go around the ferris wheel thrice more for their patients. After the ride, they thanked the man and ran happily home to tell their mom what happened their mama was so proud of them and hug @PERSON1 and @PERSON1.",2,2,2,2,8,295
1234,18134,7,Patience can mean a lot of things. It can mean to be understanding or it can mean to be tolerant. Being patient can also mean you don’t complain. Like if you ask someone to get you something and they say that they will get it in a certain amount of days. If they don’t get it the day they said they would and you were expecting it then you should’nt get mad. You can also be paitient if you have to wait for something. If you are getting a new pair of shoes but the only way you can get them is they have to be ordered. You should not start to complain if it takes a long time. You should be able to wait without getting angry that you don’t have them yet. Being patient can mean all of these things. If you do these things you can tell that you are patient. That is what being patient means.,1,2,2,2,7,180
1185,19047,7,"Every day at launch I have to be patient while waiting to get called up to get my lunch. Especialy when your waiting in line, then you really have to be patient. But sometimes your lucky and you can go to the other line to pay for lunch. And then when you finish lunch you can go out ride and play. But @CAPS1 you must finish your food and throw it away and wait patienty. And thats a time when I was patient.",2,2,2,2,8,96
1253,18574,7,One day it was me and my mother we was going to the store @CAPS1 we had to go and pick up my big brother from basketball practice @CAPS1 we got there and he wasn’t outside @CAPS1 my mother was calling his phone phone and he wasn’t answering @CAPS1 my mother keep calling @CAPS1 my mother said that were going to wait until he get out now that’s what I call patience.,2,2,1,1,6,91
1244,18403,7,I am going to write about a time I was patient. The time I was patient was when I went to fuzzys and it took a long time. It took @NUM1 minutes. It seemed like took forever. It was a @ORGANIZATION1. I think the reason why it seemed forever was probably because I did’t eat nothing. There was me my mom and dad. You can also buy ice cream. My stomach was hurting and I was hungry. I had tries to. Some people have patient and other don’t. I kind of have patients. But this time I had no patients. Now when I get a @ORGANIZATION1 @ORGANIZATION1 it seems not that long. That is a time I needed patients.,1,1,2,2,6,151
397,18391,7,"When I was in fifth grade I wasn't doing so well in math so my @CAPS1 agreed on helping study for my upcoming test. So on @DATE1 I got up really early but my mom was running really late getting home from work, and she was the one driving me there. So my @CAPS1 was being really understanding and patient. So my mom got home drove me and we ended up a hour and a half late but my @CAPS1 was still very patient. So we started to help me and I was completely lost I didn't understand anything she was talking about but she still tried and was very understanding. I got almost every question wrong that she asked me and she still try to her best ability to help me understand it. She had to helping me for about @NUM1 hours but she followed through and really helped me and I actually got a A on that quiz all because of her help and patience with me. I know it must have been hard to work with me for that long without losing her patience with me and I really respect that and I am very grateful to know someone like that.",2,3,2,3,10,228
372,19422,7,"Over the @DATE1 my dad, my brother and I went to @CAPS1 point. It was really hot but we didn’t care we really wanted to ride the millennium force. We found the ride but we first looked at the line it was huge. It shaked almost around the whole ride twice, so we got to the end of the line and sat in the blazing hot sun for a half an hour till we found our cover selves under a tent they put up so it was some what cool in line. So we waited a longer and longer till my brother started to flip out yelling and screaming at the top of his lungs, “I can’t wait here any longer” @CAPS2 he went under the ?? and ?? off. My dad told me to wait in line as he sprinted after him. So I waited an hour when finnaly, it was time for me to get on the ride but my dad and my brother were not here so l decided to wait in the line going to the front of the ride. When l got on they still weren’t there, well the ride took off and they weren’t the best ride ever with me.",3,3,3,3,12,237
1019,19339,7,"It’s about three @CAPS1 clock the clock tells me, but I can’t go to sleep because my @CAPS2 @CAPS3 and I are going fishing. So  it’s eight @CAPS1’clock now my @CAPS2 was suppose to be here at seven, but my grandma kept say he’ll be here, so I believe her but I was a little worried.Now it’s ten @CAPS1’clock in by know. I’m just furious I am about to cry, but my grandma said he’ll be here, in I said, “@CAPS4 he won’t in went in my room then I realize he well be here he will be here.Then I heard the door open I ran in it was him I ran in said you finnaly came in we ate then I look outside in seen the boat. That’s a time I should patience.",2,2,2,2,8,184
1282,19162,7,"One time when I waited game but I couldn’t get yet .So I asked  my mom if can she buy me a new game, how much does it cause? @NUM1 dollars then she said you have to wait for some days the @NUM2 went by then I finally asked my mom can she buy for me she said well yet .I said thank you .Then the next morning we went to the game store, then I saw the game I wanted,I told my mom that we went to the counter and bought my game .",2,2,1,1,6,108
803,18342,7,"Patience is a very important quality in life. In fact one time I had to be very patience because my little cousin who live in @LOCATION1 had a pisered   since birth. It takes her a little longer to ge things because she @MONTH1 where she her own little would but it not reality. So I was going to teach her how to ride a bike with truninig wheels but she tryed and she still know how today shes gotten way better but still has brain problems. So I’m taking her from horrible to better to good then to great. She’s improved over the years it takes patience because she has a disorder. So you really don’t yell at her cause shes very emotional and sencitive so you have to be quiet, nice, and have patience.  So she will always be stuck with the problem but you can be patience and she will @CAPS1.",2,2,2,2,8,186
588,17865,7,"Patience? I am not a patient type of person. I am a @PERSON1 @CAPS1. He played in a @CAPS11 called @CAPS2 which l really wanted to @CAPS10. Which came out @DATE1. That l havent even seen yet until One day l was sitting in my porch where l asked my mom to @CAPS19 to @CAPS9 and @CAPS10 @CAPS2 that @DATE2 when she said ""wlc"" l was really upset because l wanted to @CAPS10 it really really bad. I was being very patient at the time. I had called my @CAPS4's, @CAPS5's, sister's and brother's to fave me. @CAPS14 they said they were busy so l cried myself to sleep. The next @NUM1 days my mom and dad was talking about going to the movies and out to dinner. I walked in screaming and yelling ""@CAPS6 ARE @CAPS7 @CAPS8 @CAPS9 AND @CAPS10 A @CAPS11 AND @CAPS12 @CAPS13 @CAPS14 @CAPS7 @CAPS16'@CAPS17 @CAPS9 @CAPS19 @CAPS7 OWN @CAPS21"" @CAPS22 I left out the room. The very next day my brother and his girlfriend went to @CAPS9 @CAPS10 it knowing l wanted to @CAPS9. They came home reasing me saying @CAPS6 good the @CAPS11 was. So that night l went down stairs to demand to @CAPS9 @CAPS10 ""@CAPS2"" saying "" I am being very patient with you all about taking me to @CAPS10 @CAPS2 @CAPS14 you all are pushing my buttons so l demand to @CAPS9 tomarrow"" @CAPS22 I waited @NUM2 second @CAPS22 she said that l could @CAPS9 this @DATE2. That was the very @NUM3 time that l was patient, and I'm proud of myself, I @CAPS16'@CAPS17 wait to @CAPS10 my @CAPS25 @PERSON1 @CAPS26""",2,3,2,2,9,472
284,17942,7,"A time when I was patient was when my favorit @ORGANIZATION1 of the year comes, the @ORGANIZATION1. I had waited patiently all year counting down the days till @DATE1 reading books and homework where almost done with for another year. You could smell the tension in the air as everyone watched the clock spin on the last @ORGANIZATION1 of school. As the hours went by @ORGANIZATION1, seconds, @CAPS1 , @ORGANIZATION2, every one grew restless, but I was patient; I sat, I waited, I listened, I read, but nothing  compared to hot final moment where the bell round and the students cheered. A smile on everyone’s faces as they left the door for the final time that year.",2,2,3,2,9,160
154,18056,7,"I patience is a privilege I generally don't have, @CAPS1, I made an exception, though. @CAPS3 brother, @PERSON1 ran out to the car running from the pouring rain that described the mood @CAPS6 that day. @CAPS14 opened the car door, and the first thing out of his mouth was,"" @CAPS2 need to talk."" @CAPS3 @CAPS5 responded."" @CAPS4 about at @NUM1?"" I knew @CAPS5 didn't want to talk about what happened to @PERSON1, @CAPS4 @CAPS14 got an in-school suspension, around me. If @CAPS3 brother hadn't of cared about me hearing, I don't think I would've put up a fight. This was not the time. @PERSON1 divulged into his story causing tension in the air. ""@CAPS6, some guys who I realized aren't really very friend poured water purposely on @CAPS3 sweatshirt, @CAPS12 I went to tell the principle, @CAPS3 @LOCATION1""  ""@CAPS8. That's what you're supposed to do,"" @CAPS3 @CAPS15 interrupted. "" @CAPS9. @CAPS12 the person, who did it, @PERSON2, got in trouble and went into timeout. When @CAPS14 came out, @CAPS14 started to follow me, and I felt threatened.""  I held @CAPS3 breath, looking straight ahead of me. Tension was what I was breathing, not @CAPS10. ""@CAPS3 @CAPS5 filled in the next part, ""@CAPS12 you. Started punching him?"" ""@CAPS13, yes."" @CAPS14 admitted miserably. ""@PERSON1, you need to find constructive ways to release your anger. There are going to be a lot of jerks out there. You can't start punching them,""@CAPS15 scolded. ""I know, I know now. I 'm sorry,"" @CAPS3 brother shuttered in his very annoying fashion. I timidly asked @PERSON1, ""would you like a hot dog when @CAPS2 get home?"" ""@CAPS16""I bit back any rude response to the mean tone @CAPS14 was using. I understood that @CAPS14 had a bad day. @CAPS1, I realized that being patient and understanding with @CAPS3 brother was the best thing I could do. I think I gained a little more patience that day.",3,3,3,3,12,533
668,18801,7,"It was patient waiting to go to @CAPS1. It went through @NUM1 appointments. It was so excited and had the ladies to wait patiently and do many achievements and other activities respectively. On i.e. could offer everything, make especially new??? rave nily parents yells “at me and ??? you go against systems. I will have to be patient. I’l dish all night work, in the process ??? grade you a @CAPS2. It walked ??? days and dish everything else in @LOCATION1’s meat. Sitting it because such vast  will then tis with @NUM2th, ???",2,2,2,2,8,127
824,18544,7,"A time I was patient was when my sister got her lisense. When we got thare she pulled a ticket out of a michenie then it said # @NUM1 the screen said @NUM2. I said well this should be short, @CAPS1 no like every preson was a half an hour @NUM3 min if were lucky. We stayed thare for @NUM4 hours strait I hope it dos not take that long for my lisence.",2,2,2,2,8,96
656,18641,7,"I ride a beautiful paint horse named @CAPS1, she has one blue eye and one brown eye. One side of her is completely with and the other side has brown patches. @CAPS1 is a plump horse, and she loves treats! When I am putting tack on her she knows that she will get treats, but she has to wait unit I put her bridle on, and until she takes her bit, then she can have her treat. Since I am a new rider I make mistakes quite frequently, so @CAPS1 has to be patient with me when I ride her. When I make mistakes or I upset @CAPS1 she is patient most of the time. I try my best and so does @CAPS1, but I'm no where near being the perfect rider so @CAPS1 has to put up with me. After @CAPS1 and I are done riding I untack and brush her, after I'm done my instructor tells me to get @CAPS1 a treat. @CAPS1 watched me walk down the long role of stall, and patiently waits until I come back with her treat. Once she done with her treat I let her out into the paddock to play with her friends. @CAPS1 then run to her friends after, a drink of water, and doesn't have to patient anymore for a while.",0,3,2,3,8,281
813,18464,7,"There was a time when I was patient. The time I was patient is when my cousins @PERSON1, @PERSON2, and @PERSON3 were playing the wii. And I said I play winner @CAPS1 my cousin @PERSON2 won and @PERSON1 didn’t give me the controller and she wasn’t sharing. @CAPS1 then I said she could play one more time then its my turn, instead she played four more times @CAPS1 I said @PERSON1 its my turn you played and I didn’t, she said “it is not your turn.” @CAPS1 then her mom said “@PERSON1 you can play @NUM1 more minutes then its @CAPS2’s turn” one hour thirty minutes past and she still didn’t give it to me @CAPS1 then I said @PERSON1 its my turn, and I’ve been patient for a long time you either give it to me or I’m going to take it, she still didn’t it to me. I’ve been getting ready and you still didn’t share @CAPS1 then she said I’m tired of it anyways. And that’s the time I’ve been patient.",2,2,2,2,8,243
1044,18150,7,"One @DATE1 @TIME1 I was very patient when I was waiting for my sister in law to tell my brother to tell us we could come in the hospital room and see their brand new baby @CAPS1. My father and mother were waiting with my sister, bother and I, in the waiting room / lobby. At the time it was probably for an hour and a half waiting. I guess that I could say that I was being patient. Also very ten to fifteen minutes I would have to get up and walk around. I was so shaky nervous and jumpy. But it probably didn't help that I drank three cans of pepsi and right before rushed to the time I was being patient.",2,1,1,2,6,143
545,18908,7,Once when me my dad were supposed to go to the races. But I had to wait until my dad and he said he was getting of work at @NUM1 oclock and that’s the time the races starts. It takes a hour to get there so I knew we were going to be late and not be able to meet me drivers and sit in their cars. So I was patient playing in my room with all my toys. I was worried that I wasn’t going to go at all. @CAPS1 I decided to take a nap. Later I felt something tapping me I opend my eyes and saw my dad he said get up were going to the races. I was so happy. We got there and we found out we had the wrong time we were an hour early. So I got to meet the drivers and sit in there cars. And that weekend they were having a three hundred lap race. It was the end of the race seson of the year. First they did the three hundred lap race. @CAPS1 they did figure eight boat race. After that they did the school bus derby race. I was so happy you be there and to se the school buses race. A little kid said “no w how am I going to get to school there crashing all the school buses.” @CAPS1 the race were finished I than ked my dad for taking me to the races and not being late to meet the drivers and sit in their cars. We went home and I went to @CAPS2.,2,2,2,2,8,309
752,17880,7,"Swimming is a lot of fun. I enjoy feeling the cool water all around me. Patience is an important part of the swimming you have to be patient when waiting to start practice, stretching, waiting for instruction when learning a new stroke learning a new way to turn at the wall, ect. On the first day of swim team this year the coaches went through safety rules, regulations, and what we were going to do this year. For all the people who knew this stuff already, like me it wasn't very easy to be patient. But I personally think the entire team did a good job listening. Patience is important.",2,2,2,2,8,127
538,18754,7,Patience is a very good thing that I and a lot of people lack. One person that does not lack patience is the head coach of the @LOCATION1 @ORGANIZATION4 @PERSON1. @PERSON1 has been very patient for the past couple years. He did not try to make his team be better than they were he just had them try their @CAPS2 and see what the end result was. The @ORGANIZATION4 ended up going @NUM1 that year and by getting the second worst record in the national @ORGANIZATION3 they got the second pick in the twenty tend @ORGANIZATION6 draft. In that draft the @ORGANIZATION4 took @ORGANIZATION5 an defensive lineman out of the @ORGANIZATION2. He is an outstanding player and the @ORGANIZATION4 other pick was a fast running back named @CAPS1 @CAPS2 out of the @ORGANIZATION1. @PERSON1's team is so good this year because of @PERSON1's patience with his team and his understanding of his player's talents.,1,1,2,2,6,223
1302,17950,7,"Being patience is hard to do, @CAPS1 I do remember a time when I was patient. This was at @CITY1. Me and my group had to wait for everyone to get back to the bus. We were the first one’s to the bus so it took a while before they came. @CAPS1 before they did I was as calm and patient as can be.",1,1,2,2,6,80
715,19175,7,When im patient is mostly in the woods. This is when I am hunting. You have to be patient to wait for deer. They don't always come sometimes it could just be a fawn. Other  times it can be does. put when you see a buck ???is everything you first have to wait for it to come in close enough for a shot. When it does you have to wait to bring up your gun. Then you have to wait for a shot. If you get it you be patient and wait for it to die. If you cdnt find it right away dont give up. That is when I was patient.,2,2,2,3,9,128
279,17874,7,"One time I went in the @CAPS1 and I had to sit in the visiting room/ area for about @NUM1 min- @NUM2 mins. I really didn’t care, because I had to go to school after I was done you could tell any me in was not very happy because your only sapose to be waiting for @NUM3 minutes. I finally got in and went to sit in the chair and they took my rubber bands off and I had to sit there and wait for about @NUM4 minutes. I was still being patient, because I didn’t want to go to school. I don’t like coming in the middle of class, because everybody stares at you. The doctor finaly came to check on me then I got different color rubber bands on. Also the doctor  came to see me and see if my bracese were all right. I finaly got out of the @CAPS1 oficce and it was about @NUM5 so I got to go home and I was happy.",3,3,2,3,11,209
443,19200,7,"One day my grandfather and I went fishing my grandfather always says it is important to always wait. When we got to our fishing zone I said I wanted to catch a turtle and my grandfather said, “that will take far ever just catch some fish.” I told him that was going to catch a turtle and that was final. When something pulling at my fishing rod I taint to pull it in and what pulled my line was a small white bass. The next thing that pulled on my fishing rod was a big white bass. I was getting angry because there were no turtles bitting my line. The very next thing that tugged at my line was a @NUM1 inch white bass it was the biggest fish I ever caught before but it weren’t a turtle. After I caught that fish I said it’s time for a break time. I was eating a sandwich and my grandpa was jacking around and catching fish. At the time I was finshing my sandwich and my fishing rod was pulling.  I had to grab my fishing rod and ??? in my fish but it weren’t a fish it was a baby turtle.",2,2,2,2,8,227
16,18229,7,"“@CAPS1! Today is the day we get to go to @CAPS2 point,” @CAPS3 @PERSON1 exclaimed. “@CAPS4 on @PERSON1, lets get this show at the road.” @CAPS5 announced. The @CAPS6 were planning a vacation to go to @CAPS7 point @CAPS22 @DATE1 long and today is the day they got to go. The family got @CAPS22 of their suitcases and piled them in the car. When everything was situated, they took off. “@CAPS8 @CAPS11, how long is this drive gonna take?” @CAPS9, @PERSON1’s older sister, asked.  “@CAPS10, about six hours sweetie.” @CAPS11 replied. The @CAPS6 lived in @LOCATION1, @CAPS21 they had to drive along way to get to @LOCATION2.“@CAPS13 @CAPS11!!! I can’t survive six hours in a car!!!. “@CAPS14 @CAPS9, you wanted to @CAPS4 here, you just have to have patience like @CAPS3 @PERSON1 here.”   “I guess I will not wait.” @CAPS15 about three hours in the car @CAPS9 kept repeatedly asking the question “Are we there yet?” @CAPS16 though the answer was always “@CAPS17,” she asked it anyways. @CAPS3 @PERSON1 eventually got annoyed of this and shouted “stop it! Just have some patience!”,“@CAPS18, @CAPS18,” @CAPS9 replied, “I will stop.”@CAPS15 about two more hours, they finally arrived. The parents bought the tickets and asked their children what ride they wanted to go on. They both smiled and said “The @CAPS20.”     @CAPS21 they walked up to the line, and waited. They just waited, and waited. Some more.  @CAPS15 what seemed like four hours waiting in line, @CAPS9 gave up and shouted “I don’t want to wait in line anymore! I am leaving!” @CAPS21 the family walked back into the car, and drove off. When they got settled, @PERSON1 told @CAPS9, “@CAPS22 it takes is some patience and you can have some fun.”  @CAPS9 didn’t respond.",3,3,3,3,12,510
1387,18844,7,There was a day when I was patient and I was so nice and this girls was so in aher she was getting on my nrvise because she push me and hitting me. So I just let her in front of me and we where in @CAPS1 and lot of people be ready for @CAPS1 lady said stop push her. Then we where in class and so I rise my hand and she said be patient I said I am patient so shut up so shut up please so she don’t shut up so I my had a other time and the teacher call on me so she got mad at me.,1,1,1,1,4,125
472,17966,7,"One time when my family went to @LOCATION1 @CAPS1, we had to wait in line for the one roller causter I sayed witch one it was. Well I wasn’t as patient as my sister, but I was pretty patient. After the ride I had forgotten how long it took to get to go on the ride. My parents remember they thought we had left the park and drove off to somewhere. Well there are many other times I have been patient like the time my friend took two days to put music on my @CAPS2.  She had just gotten her @CAPS2 touch and she wanted to put music on it. So she asked me if I wanted more music on my @CAPS2 too. Well I said yes. Even though I know I can’t spend a day without using or just looking at my @CAPS2. But the only thing I could do was be patient. Ok after two days she finally gave it back. I thanked her and asked what took so long. She said that the composer was taking forever and her infer were on it like forever.",2,2,2,2,8,225
1378,18539,7,"My mom was pation because when I came home late from the park she was be pation, but she wasn’t pation when she took the phone away from me she wasn’t pation. When my brother get he has pations for him and my sister but none for me. Just because I came home @NUM1 minutes late, she said she had pations before I did that and now she has a little bit of pations for me just a little.",1,1,2,1,5,95
